,funded_amnt,funded_amnt_inv,loan_amnt,loan_status,title,dti,zip_code,addr_state,emp_length,policy_code
1072532,25000.0,25000.0,25000.0,Fully Paid,Credit card refinancing,11.7,463xx,IN,1 year,1.0
1159716,6000.0,6000.0,6000.0,Fully Paid,Home improvement,10.52,294xx,SC,4 years,1.0
2012959,15000.0,15000.0,15000.0,Charged Off,Debt consolidation,10.27,662xx,KS,1 year,1.0
720176,19200.0,19200.0,19200.0,Current,,4.27,070xx,NJ,,1.0
2107660,20000.0,20000.0,20000.0,Current,Debt consolidation,5.7,117xx,NY,< 1 year,1.0
2022356,5000.0,5000.0,5000.0,Current,Other,17.18,853xx,AZ,10+ years,1.0
549115,2150.0,2150.0,2150.0,Current,Home improvement,2.68,295xx,SC,3 years,1.0
1570885,9000.0,9000.0,9000.0,Current,Credit card refinancing,14.69,226xx,VA,< 1 year,1.0
2048142,8800.0,8800.0,8800.0,Fully Paid,Debt consolidation,11.85,532xx,WI,3 years,1.0
947011,20000.0,20000.0,20000.0,Current,Home improvement,15.63,207xx,MD,10+ years,1.0
1353297,10000.0,10000.0,10000.0,Current,Credit card refinancing,22.1,029xx,RI,2 years,1.0
375929,20000.0,20000.0,20000.0,Charged Off,Credit card refinancing,23.93,327xx,FL,,1.0
1684740,3600.0,3600.0,3600.0,Charged Off,Other,20.24,208xx,MD,10+ years,1.0
1008517,21000.0,21000.0,21000.0,Current,Credit card refinancing,16.95,740xx,OK,< 1 year,1.0
50228,14000.0,14000.0,14000.0,Fully Paid,Credit card refinancing,14.25,961xx,CA,10+ years,1.0
533316,5000.0,5000.0,5000.0,Current,Debt consolidation,24.79,349xx,FL,5 years,1.0
1662345,39825.0,39825.0,39825.0,In Grace Period,Credit card refinancing,20.6,703xx,LA,10+ years,1.0
254657,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,27.84,064xx,CT,10+ years,1.0
74905,14675.0,14575.0,14675.0,Fully Paid,Debt consolidation,16.86,781xx,TX,< 1 year,1.0
2060552,30000.0,30000.0,30000.0,Current,Debt consolidation,13.83,105xx,NY,5 years,1.0
1046915,13325.0,13325.0,13325.0,Fully Paid,Debt consolidation,13.47,207xx,MD,< 1 year,1.0
1551863,30000.0,29975.0,30000.0,Charged Off,Other,1.2,495xx,MI,< 1 year,1.0
1459577,6000.0,6000.0,6000.0,Current,Debt consolidation,35.56,296xx,SC,10+ years,1.0
1292091,6000.0,6000.0,6000.0,Fully Paid,Debt consolidation,29.89,283xx,NC,10+ years,1.0
1382241,12000.0,12000.0,12000.0,Current,Debt consolidation,15.38,301xx,GA,4 years,1.0
362451,22000.0,22000.0,22000.0,Fully Paid,Debt consolidation,16.69,391xx,MS,10+ years,1.0
699754,12000.0,11750.0,12000.0,Fully Paid,Debt consolidation,26.93,600xx,IL,2 years,1.0
92862,3150.0,3150.0,3150.0,Fully Paid,Debt consolidation,13.93,201xx,VA,1 year,1.0
1462762,40000.0,40000.0,40000.0,Current,Credit card refinancing,24.04,430xx,OH,< 1 year,1.0
862239,5400.0,5400.0,5400.0,Current,Debt consolidation,35.84,240xx,VA,9 years,1.0
356444,10200.0,10200.0,10200.0,Current,Debt consolidation,15.57,554xx,MN,4 years,1.0
1172410,25000.0,25000.0,25000.0,Fully Paid,Credit card refinancing,31.0,704xx,LA,2 years,1.0
1692920,8000.0,8000.0,8000.0,Current,Debt consolidation,8.5,219xx,MD,10+ years,1.0
2094220,1000.0,1000.0,1000.0,Current,Other,3.61,224xx,VA,6 years,1.0
1286631,12000.0,12000.0,12000.0,Charged Off,Major purchase,18.1,087xx,NJ,10+ years,1.0
1500478,24000.0,24000.0,24000.0,Current,Credit card refinancing,20.13,553xx,MN,10+ years,1.0
262804,20000.0,19975.0,20000.0,Charged Off,Credit card refinancing,16.73,334xx,FL,9 years,1.0
458119,25000.0,24750.0,25000.0,Current,Home improvement,21.55,247xx,WV,10+ years,1.0
38131,20000.0,20000.0,20000.0,Current,Debt consolidation,19.64,064xx,CT,6 years,1.0
420545,10000.0,10000.0,10000.0,Current,Debt consolidation,19.38,180xx,PA,5 years,1.0
197081,19325.0,19325.0,19325.0,Charged Off,Debt consolidation,27.4,240xx,VA,6 years,1.0
992411,10950.0,10900.0,10950.0,Charged Off,Debt consolidation,15.82,805xx,CO,1 year,1.0
2112516,40000.0,40000.0,40000.0,Current,Debt consolidation,25.77,478xx,IN,,1.0
558970,4000.0,4000.0,4000.0,Current,Vacation,22.51,200xx,DC,2 years,1.0
1996857,6000.0,6000.0,6000.0,Fully Paid,Home improvement,2.06,232xx,VA,10+ years,1.0
1336714,35000.0,35000.0,35000.0,Fully Paid,Credit card refinancing,19.45,945xx,CA,< 1 year,1.0
1297697,17500.0,17500.0,17500.0,Fully Paid,Credit card refinancing,25.52,141xx,NY,10+ years,1.0
105095,21350.0,21325.0,21350.0,Charged Off,Debt consolidation,24.02,760xx,TX,9 years,1.0
213219,16000.0,16000.0,16000.0,Charged Off,Debt consolidation,24.76,301xx,GA,10+ years,1.0
1271529,4000.0,4000.0,4000.0,Fully Paid,Home improvement,7.75,934xx,CA,10+ years,1.0
1442295,4800.0,4800.0,4800.0,Current,Credit card refinancing,22.19,456xx,OH,10+ years,1.0
1228343,16300.0,16300.0,16300.0,Current,Debt consolidation,32.9,554xx,MN,< 1 year,1.0
2189496,19950.0,19950.0,19950.0,Fully Paid,Debt consolidation,24.77,906xx,CA,10+ years,1.0
1016780,10000.0,10000.0,10000.0,Fully Paid,Credit card refinancing,12.38,084xx,NJ,10+ years,1.0
851268,28000.0,28000.0,28000.0,Current,Debt consolidation,19.23,956xx,CA,8 years,1.0
599056,24000.0,24000.0,24000.0,Current,Debt consolidation,20.14,303xx,GA,5 years,1.0
1247282,33825.0,33825.0,33825.0,Fully Paid,Debt consolidation,20.18,087xx,NJ,,1.0
1139555,6500.0,6500.0,6500.0,Fully Paid,Home improvement,11.35,117xx,NY,10+ years,1.0
1746962,12000.0,12000.0,12000.0,Charged Off,Car financing,27.79,272xx,NC,6 years,1.0
807398,25000.0,25000.0,25000.0,Current,Credit card refinancing,17.14,195xx,PA,10+ years,1.0
482620,20000.0,20000.0,20000.0,Current,Debt consolidation,18.95,735xx,OK,,1.0
718996,16000.0,16000.0,16000.0,Fully Paid,Debt consolidation,20.36,986xx,WA,8 years,1.0
1133279,14000.0,14000.0,14000.0,Fully Paid,Credit card refinancing,22.61,936xx,CA,8 years,1.0
2200828,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,16.65,559xx,MN,1 year,1.0
849398,11050.0,11050.0,11050.0,Current,Credit card refinancing,14.72,871xx,NM,10+ years,1.0
1387068,24000.0,24000.0,24000.0,Current,Debt consolidation,39.72,922xx,CA,< 1 year,1.0
1894532,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,3.11,944xx,CA,2 years,1.0
1184280,4000.0,4000.0,4000.0,Fully Paid,Other,24.74,913xx,CA,10+ years,1.0
40320,10000.0,10000.0,10000.0,Fully Paid,Credit card refinancing,6.3,905xx,CA,10+ years,1.0
525975,10000.0,10000.0,10000.0,Current,Credit card refinancing,7.96,038xx,NH,4 years,1.0
186461,21000.0,21000.0,21000.0,Fully Paid,Other,21.59,211xx,MD,6 years,1.0
2120826,15000.0,15000.0,15000.0,Current,Debt consolidation,13.77,423xx,KY,6 years,1.0
645334,10000.0,10000.0,10000.0,Current,Home improvement,20.07,371xx,TN,< 1 year,1.0
1422775,30000.0,30000.0,30000.0,Current,Debt consolidation,15.26,973xx,OR,< 1 year,1.0
2073886,10000.0,10000.0,10000.0,Current,Credit card refinancing,7.56,483xx,MI,,1.0
1083177,31525.0,31525.0,31525.0,Fully Paid,Debt consolidation,24.05,967xx,HI,10+ years,1.0
99470,17500.0,17500.0,17500.0,Charged Off,Debt consolidation,14.64,131xx,NY,2 years,1.0
1113386,3800.0,3800.0,3800.0,Fully Paid,Debt consolidation,13.83,941xx,CA,3 years,1.0
1420871,13000.0,13000.0,13000.0,Current,Debt consolidation,25.85,895xx,NV,,1.0
38074,15000.0,15000.0,15000.0,Fully Paid,Debt consolidation,9.6,104xx,NY,10+ years,1.0
1730898,18375.0,18375.0,18375.0,Charged Off,Major purchase,12.52,945xx,CA,1 year,1.0
900771,9600.0,9600.0,9600.0,Late (31-120 days),Credit card refinancing,26.72,061xx,CT,< 1 year,1.0
234127,8000.0,8000.0,8000.0,Fully Paid,Credit card refinancing,13.58,805xx,CO,6 years,1.0
1478541,19600.0,19600.0,19600.0,Current,Debt consolidation,10.55,370xx,TN,10+ years,1.0
1375337,7000.0,7000.0,7000.0,Current,Other,13.12,257xx,WV,1 year,1.0
1136153,3575.0,3575.0,3575.0,Fully Paid,Debt consolidation,6.46,070xx,NJ,10+ years,1.0
1793738,4750.0,4750.0,4750.0,Charged Off,Debt Consolidation,21.6,300xx,GA,1 year,1.0
816827,9000.0,9000.0,9000.0,Current,Debt consolidation,4.36,074xx,NJ,4 years,1.0
771274,18000.0,18000.0,18000.0,Current,Debt consolidation,8.0,551xx,MN,< 1 year,1.0
146793,7800.0,7800.0,7800.0,Fully Paid,Credit card refinancing,9.92,925xx,CA,3 years,1.0
1882945,10175.0,10175.0,10175.0,Fully Paid,Credit Cards,13.34,606xx,IL,< 1 year,1.0
1139654,22125.0,22125.0,22125.0,Fully Paid,Debt consolidation,12.28,752xx,TX,< 1 year,1.0
2080258,8000.0,8000.0,8000.0,Current,Credit card refinancing,0.83,844xx,UT,10+ years,1.0
724809,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,26.82,436xx,OH,8 years,1.0
1624312,12000.0,12000.0,12000.0,Fully Paid,Home Improvement - 06/27/11,9.88,967xx,HI,10+ years,1.0
603633,40000.0,40000.0,40000.0,Current,Debt consolidation,13.95,606xx,IL,7 years,1.0
333043,25000.0,25000.0,25000.0,Fully Paid,Debt consolidation,28.19,479xx,IN,10+ years,1.0
529839,4800.0,4800.0,4800.0,Current,Debt consolidation,14.75,243xx,VA,10+ years,1.0
2198367,34375.0,34325.0,34375.0,Current,Debt consolidation,22.46,660xx,KS,10+ years,1.0
1336035,12000.0,12000.0,12000.0,Fully Paid,Credit card refinancing,24.02,937xx,CA,9 years,1.0
1013726,20000.0,20000.0,20000.0,Fully Paid,Car financing,11.38,960xx,CA,,1.0
1402571,23000.0,23000.0,23000.0,Current,Debt consolidation,13.29,144xx,NY,9 years,1.0
330542,6000.0,6000.0,6000.0,Fully Paid,Debt consolidation,14.7,294xx,SC,1 year,1.0
1151138,5000.0,5000.0,5000.0,Fully Paid,Other,19.17,339xx,FL,< 1 year,1.0
936992,13000.0,13000.0,13000.0,Current,Debt consolidation,22.52,800xx,CO,1 year,1.0
2023229,20000.0,20000.0,20000.0,Current,Debt consolidation,14.03,928xx,CA,2 years,1.0
984899,30000.0,30000.0,30000.0,Current,Debt consolidation,25.48,016xx,MA,5 years,1.0
1209301,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,26.19,705xx,LA,< 1 year,1.0
173098,3500.0,3500.0,3500.0,Fully Paid,Home improvement,9.9,902xx,CA,10+ years,1.0
1628051,6200.0,6200.0,6200.0,Fully Paid,Consolidation Dos,13.43,604xx,IL,6 years,1.0
1119126,10000.0,10000.0,10000.0,Fully Paid,Debt consolidation,5.83,925xx,CA,1 year,1.0
1010675,4200.0,4200.0,4200.0,Fully Paid,Debt consolidation,11.27,416xx,KY,10+ years,1.0
1220563,16000.0,16000.0,16000.0,Fully Paid,Credit card refinancing,23.35,606xx,IL,10+ years,1.0
347096,35000.0,35000.0,35000.0,Fully Paid,Debt consolidation,11.16,450xx,OH,10+ years,1.0
1536970,5000.0,5000.0,5000.0,Current,Medical expenses,11.85,339xx,FL,4 years,1.0
1517236,35000.0,35000.0,35000.0,Current,Debt consolidation,28.32,304xx,GA,9 years,1.0
1979541,35000.0,34975.0,35000.0,Fully Paid,Debt consolidation,15.6,207xx,MD,5 years,1.0
1085884,30000.0,30000.0,30000.0,Current,Debt consolidation,13.65,750xx,TX,10+ years,1.0
2184709,2000.0,2000.0,2000.0,Current,Debt consolidation,26.19,631xx,MO,2 years,1.0
155610,26500.0,26500.0,26500.0,Charged Off,Debt consolidation,17.41,327xx,FL,4 years,1.0
1888713,28100.0,28075.0,28100.0,Fully Paid,CC Refinance,17.1,950xx,CA,5 years,1.0
710057,3600.0,3600.0,3600.0,Fully Paid,,0.94,894xx,NV,5 years,1.0
2059550,15000.0,15000.0,15000.0,Current,Credit card refinancing,29.07,456xx,OH,4 years,1.0
1195867,25000.0,25000.0,25000.0,Fully Paid,Debt consolidation,20.88,786xx,TX,9 years,1.0
1286539,15000.0,15000.0,15000.0,Fully Paid,Credit card refinancing,6.27,112xx,NY,10+ years,1.0
1090477,4000.0,4000.0,4000.0,Fully Paid,Debt consolidation,7.49,378xx,TN,10+ years,1.0
55158,25000.0,24925.0,25000.0,Fully Paid,Debt consolidation,27.79,327xx,FL,3 years,1.0
1541418,8500.0,8500.0,8500.0,Fully Paid,Credit card refinancing,13.1,864xx,AZ,< 1 year,1.0
525093,2500.0,2500.0,2500.0,Current,Other,22.24,150xx,PA,,1.0
514793,1400.0,1400.0,1400.0,Current,Major purchase,3.02,454xx,OH,10+ years,1.0
1662420,6775.0,6775.0,6775.0,Fully Paid,Other,8.48,750xx,TX,4 years,1.0
2060672,6000.0,6000.0,6000.0,Current,Medical expenses,3.75,641xx,MO,10+ years,1.0
1001061,19200.0,19200.0,19200.0,Fully Paid,Credit card refinancing,19.75,706xx,LA,9 years,1.0
1974089,10400.0,10400.0,10400.0,Fully Paid,Credit card refinancing,7.07,060xx,CT,< 1 year,1.0
1799070,16000.0,16000.0,16000.0,Fully Paid,Credit Card Consolidation,17.77,018xx,MA,5 years,1.0
1089210,17000.0,17000.0,17000.0,Charged Off,Credit card refinancing,12.03,327xx,FL,5 years,1.0
715507,18000.0,18000.0,18000.0,Fully Paid,,21.58,894xx,NV,10+ years,1.0
1704489,10875.0,10875.0,10875.0,Fully Paid,Credit card refinancing,19.99,297xx,SC,10+ years,1.0
1463635,10000.0,10000.0,10000.0,Current,Debt consolidation,11.2,305xx,GA,4 years,1.0
1622205,15000.0,15000.0,15000.0,Fully Paid,Unforseen expenses,11.09,105xx,NY,< 1 year,1.0
1373329,5000.0,5000.0,5000.0,Current,Other,20.86,078xx,NJ,4 years,1.0
1681982,30000.0,30000.0,30000.0,Current,Debt consolidation,29.44,315xx,GA,10+ years,1.0
231953,10000.0,10000.0,10000.0,Fully Paid,Home improvement,26.15,432xx,OH,6 years,1.0
627506,16000.0,16000.0,16000.0,Fully Paid,Debt consolidation,25.54,197xx,DE,< 1 year,1.0
834994,26800.0,26800.0,26800.0,Current,Home improvement,30.43,386xx,MS,4 years,1.0
1682085,10000.0,10000.0,10000.0,Current,Credit card refinancing,11.19,190xx,PA,10+ years,1.0
1089262,24850.0,24850.0,24850.0,Fully Paid,Debt consolidation,24.47,330xx,FL,6 years,1.0
1602596,3500.0,3500.0,3500.0,Current,Credit card refinancing,12.22,460xx,IN,4 years,1.0
669933,8000.0,8000.0,8000.0,Fully Paid,Credit card refinancing,7.07,910xx,CA,10+ years,1.0
591593,35000.0,35000.0,35000.0,Current,Home improvement,15.99,951xx,CA,< 1 year,1.0
1039778,12725.0,12725.0,12725.0,Current,Debt consolidation,33.85,673xx,KS,3 years,1.0
1625543,12000.0,12000.0,12000.0,Charged Off,High Interest Credit card Consolidation,13.89,303xx,GA,10+ years,1.0
1062672,12400.0,12400.0,12400.0,Current,Debt consolidation,10.52,330xx,FL,3 years,1.0
636438,31000.0,31000.0,31000.0,Current,Debt consolidation,18.16,554xx,MN,2 years,1.0
2099088,15000.0,15000.0,15000.0,Current,Debt consolidation,26.17,770xx,TX,4 years,1.0
495899,24000.0,24000.0,24000.0,Fully Paid,Home buying,18.15,112xx,NY,1 year,1.0
1373519,9925.0,9925.0,9925.0,Current,Debt consolidation,44.77,763xx,TX,,1.0
1486003,4000.0,4000.0,4000.0,Current,Debt consolidation,17.19,956xx,CA,1 year,1.0
588528,14400.0,14400.0,14400.0,Current,Debt consolidation,16.54,970xx,OR,1 year,1.0
229135,14400.0,14400.0,14400.0,Charged Off,Moving and relocation,10.04,314xx,GA,< 1 year,1.0
606329,14400.0,14400.0,14400.0,Fully Paid,Credit card refinancing,22.26,945xx,CA,< 1 year,1.0
434999,25000.0,25000.0,25000.0,Current,Credit card refinancing,10.15,926xx,CA,10+ years,1.0
829100,17600.0,17600.0,17600.0,Charged Off,Other,19.76,217xx,MD,2 years,1.0
2178353,8000.0,8000.0,8000.0,Charged Off,Credit card refinancing,4.32,080xx,NJ,1 year,1.0
464366,14000.0,14000.0,14000.0,Current,Debt consolidation,8.59,802xx,CO,,1.0
1275194,14000.0,14000.0,14000.0,Fully Paid,Credit card refinancing,26.4,656xx,MO,6 years,1.0
1662681,15000.0,15000.0,15000.0,Current,Debt consolidation,10.8,030xx,NH,10+ years,1.0
2077678,20000.0,20000.0,20000.0,Current,Debt consolidation,18.66,431xx,OH,3 years,1.0
1072955,12000.0,12000.0,12000.0,Charged Off,Debt consolidation,23.41,933xx,CA,9 years,1.0
62028,12000.0,12000.0,12000.0,Fully Paid,Debt consolidation,34.03,770xx,TX,1 year,1.0
155582,10500.0,10500.0,10500.0,Current,Debt consolidation,21.93,973xx,OR,2 years,1.0
484079,6400.0,6400.0,6400.0,Current,Debt consolidation,7.39,920xx,CA,10+ years,1.0
1602722,12000.0,12000.0,12000.0,Current,Debt consolidation,36.69,910xx,CA,2 years,1.0
2025067,30000.0,30000.0,30000.0,Fully Paid,Debt consolidation,17.48,924xx,CA,5 years,1.0
1273187,32000.0,32000.0,32000.0,Current,Debt consolidation,16.68,301xx,GA,9 years,1.0
737172,2550.0,2550.0,2550.0,Charged Off,Debt consolidation,27.88,281xx,NC,2 years,1.0
687599,17500.0,17500.0,17500.0,Charged Off,Debt consolidation,39.88,774xx,TX,10+ years,1.0
671914,10000.0,10000.0,10000.0,Charged Off,Credit card refinancing,24.71,329xx,FL,10+ years,1.0
1481495,5000.0,5000.0,5000.0,Current,Credit card refinancing,3.41,795xx,TX,10+ years,1.0
1709606,23300.0,23300.0,23300.0,Current,Debt consolidation,20.4,640xx,MO,10+ years,1.0
1627435,15000.0,15000.0,15000.0,Fully Paid,Small Business Loan,0.0,294xx,SC,,1.0
1724122,11000.0,11000.0,11000.0,Current,Debt consolidation,11.59,080xx,NJ,10+ years,1.0
1679038,3550.0,3550.0,3550.0,Current,Home improvement,11.95,329xx,FL,5 years,1.0
1559855,10000.0,10000.0,10000.0,Current,Credit card refinancing,10.32,286xx,NC,,1.0
1719346,9200.0,9200.0,9200.0,Fully Paid,Debt consolidation,15.34,029xx,RI,5 years,1.0
913695,10500.0,10500.0,10500.0,Current,Credit card refinancing,17.4,939xx,CA,,1.0
481634,22500.0,22500.0,22500.0,Fully Paid,Major purchase,18.57,760xx,TX,10+ years,1.0
1927503,5900.0,5900.0,5900.0,Charged Off,VACATION,24.75,229xx,VA,8 years,1.0
782915,24000.0,24000.0,24000.0,Current,Debt consolidation,13.17,393xx,MS,10+ years,1.0
1882714,21000.0,21000.0,21000.0,Fully Paid,Debt Re-Structure Loan,20.31,921xx,CA,10+ years,1.0
171233,4000.0,4000.0,4000.0,Fully Paid,Credit card refinancing,17.36,559xx,MN,10+ years,1.0
2254730,1000.0,1000.0,1000.0,Charged Off,Vacation,34.83,787xx,TX,5 years,1.0
66948,5000.0,5000.0,5000.0,Fully Paid,Debt consolidation,23.18,967xx,HI,2 years,1.0
1430789,12000.0,12000.0,12000.0,Current,Debt consolidation,28.6,535xx,WI,,1.0
2227358,6500.0,6500.0,6500.0,Fully Paid,Debt consolidation,16.74,701xx,LA,1 year,1.0
2104688,10500.0,10500.0,10500.0,Current,Debt consolidation,35.47,453xx,OH,10+ years,1.0
1921049,18000.0,17925.0,18000.0,Fully Paid,debt loan,34.3,344xx,FL,,1.0
662551,8000.0,8000.0,8000.0,Fully Paid,Debt consolidation,18.55,773xx,TX,< 1 year,1.0
169263,15750.0,15750.0,15750.0,Fully Paid,Credit card refinancing,22.84,551xx,MN,3 years,1.0
1842558,14000.0,14000.0,14000.0,Fully Paid,Credit Card Refi,10.99,750xx,TX,2 years,1.0
2143721,17500.0,17500.0,17500.0,Current,Credit card refinancing,15.68,028xx,RI,2 years,1.0
2182221,19200.0,19200.0,19200.0,Charged Off,Debt consolidation,18.55,113xx,NY,10+ years,1.0
1759617,35000.0,35000.0,35000.0,Fully Paid,Debt consolidation,20.51,968xx,HI,10+ years,1.0
1910825,6800.0,6800.0,6800.0,Fully Paid,Medical,14.99,852xx,AZ,7 years,1.0
655944,11200.0,11200.0,11200.0,Charged Off,Moving and relocation,34.29,782xx,TX,< 1 year,1.0
1435018,11000.0,11000.0,11000.0,Current,Debt consolidation,12.4,117xx,NY,,1.0
732937,7000.0,7000.0,7000.0,Current,Other,12.94,481xx,MI,,1.0
901346,10800.0,10800.0,10800.0,Current,Major purchase,18.95,767xx,TX,< 1 year,1.0
448365,4800.0,4800.0,4800.0,Current,Debt consolidation,22.12,076xx,NJ,4 years,1.0
1828792,30000.0,30000.0,30000.0,Charged Off,Debt consolidation,34.6,991xx,WA,10+ years,1.0
1887676,8800.0,8800.0,8800.0,Charged Off,Debt consolidation,28.78,601xx,IL,7 years,1.0
243017,18350.0,18350.0,18350.0,Charged Off,Debt consolidation,21.95,062xx,CT,10+ years,1.0
1946306,3600.0,3600.0,3600.0,Fully Paid,Debt consolidation,11.63,981xx,WA,9 years,1.0
1351641,10000.0,10000.0,10000.0,Fully Paid,CCConsolidation,21.78,786xx,TX,< 1 year,1.0
272184,6025.0,6025.0,6025.0,Charged Off,Debt consolidation,33.01,014xx,MA,10+ years,1.0
1684466,18000.0,18000.0,18000.0,Current,Debt consolidation,19.61,837xx,ID,3 years,1.0
1374488,6000.0,6000.0,6000.0,Current,Debt consolidation,23.24,342xx,FL,10+ years,1.0
2020223,10000.0,10000.0,10000.0,Current,Business,15.19,334xx,FL,3 years,1.0
1007208,14000.0,14000.0,14000.0,Fully Paid,,8.07,082xx,NJ,,1.0
1859262,8000.0,8000.0,8000.0,Fully Paid,Credit Card Consolidation,30.21,157xx,PA,2 years,1.0
2129063,10000.0,10000.0,10000.0,Current,Other,12.69,060xx,CT,5 years,1.0
2159674,10000.0,10000.0,10000.0,Fully Paid,Car financing,18.87,494xx,MI,10+ years,1.0
1214893,14000.0,14000.0,14000.0,Fully Paid,Other,3.77,088xx,NJ,10+ years,1.0
1002831,8400.0,8400.0,8400.0,Fully Paid,Credit card refinancing,14.92,921xx,CA,2 years,1.0
953711,17000.0,17000.0,17000.0,Current,Debt consolidation,17.13,286xx,NC,1 year,1.0
804738,23000.0,23000.0,23000.0,Fully Paid,Debt consolidation,18.24,100xx,NY,4 years,1.0
2217041,5000.0,5000.0,5000.0,Current,Debt consolidation,11.94,664xx,KS,3 years,1.0
2223461,7600.0,7600.0,7600.0,Charged Off,Debt consolidation,26.25,325xx,FL,< 1 year,1.0
298321,10000.0,10000.0,10000.0,Current,Moving and relocation,3.37,112xx,NY,1 year,1.0
253695,5000.0,5000.0,5000.0,Fully Paid,Other,5.92,217xx,MD,8 years,1.0
2200411,3200.0,3200.0,3200.0,Current,Credit card refinancing,8.83,531xx,WI,10+ years,1.0
1645917,10000.0,9875.0,10000.0,Fully Paid,savy debt consolidator,4.14,302xx,GA,< 1 year,1.0
497671,20000.0,19750.0,20000.0,Current,Debt consolidation,13.84,310xx,GA,10+ years,1.0
1402692,35000.0,35000.0,35000.0,Current,Debt consolidation,12.81,765xx,TX,10+ years,1.0
1778228,5000.0,5000.0,5000.0,Fully Paid,Home improvements ,26.6,339xx,FL,10+ years,1.0
1295790,16550.0,16550.0,16550.0,Fully Paid,Debt consolidation,18.4,707xx,LA,< 1 year,1.0
1723259,26000.0,26000.0,26000.0,Current,Debt consolidation,10.54,060xx,CT,6 years,1.0
174941,3600.0,3600.0,3600.0,Charged Off,Moving and relocation,29.24,630xx,MO,4 years,1.0
446064,25000.0,25000.0,25000.0,Fully Paid,Home improvement,5.53,760xx,TX,10+ years,1.0
2079314,11000.0,11000.0,11000.0,Fully Paid,Debt consolidation,59.96,609xx,IL,1 year,1.0
544332,5000.0,5000.0,5000.0,Current,Debt consolidation,7.38,765xx,TX,9 years,1.0
1239072,2500.0,2500.0,2500.0,Fully Paid,Other,29.52,705xx,LA,2 years,1.0
1015011,10000.0,10000.0,10000.0,Fully Paid,,5.97,111xx,NY,10+ years,1.0
987045,35000.0,35000.0,35000.0,Current,Credit card refinancing,26.85,070xx,NJ,10+ years,1.0
1968739,24000.0,24000.0,24000.0,Fully Paid,Debt consolidation,11.61,227xx,VA,2 years,1.0
1317352,20000.0,20000.0,20000.0,Fully Paid,Debt consolidation,28.32,594xx,MT,,1.0
1424821,24750.0,24750.0,24750.0,Current,Credit card refinancing,35.28,853xx,AZ,7 years,1.0
318011,12000.0,11975.0,12000.0,Current,Debt consolidation,23.15,705xx,LA,8 years,1.0
1585945,35000.0,35000.0,35000.0,Current,Debt consolidation,21.56,327xx,FL,3 years,1.0
1311285,20000.0,20000.0,20000.0,Fully Paid,Credit card refinancing,11.87,464xx,IN,1 year,1.0
