,Amount Requested,Loan Title,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
15959744,20000.0,Credit card refinancing,17.51%,200xx,DC,< 1 year,0.0
25400173,10000.0,debt_consolidation,26.73%,539xx,WI,5 years,0.0
15631302,35000.0,Home buying,19.95%,700xx,LA,< 1 year,0.0
27237715,4000.0,Debt consolidation,19.43%,923xx,CA,< 1 year,0.0
3448585,7000.0,Other,26.83%,148xx,NY,< 1 year,0.0
25962146,25000.0,debt_consolidation,19.44%,112xx,NY,5 years,0.0
11044913,5000.0,Home improvement,95.4%,142xx,NY,< 1 year,0.0
4903755,30000.0,Credit card refinancing,100%,803xx,CO,< 1 year,0.0
10772861,22000.0,Debt consolidation,39.05%,323xx,FL,< 1 year,0.0
11009510,20000.0,Debt consolidation,30.76%,175xx,PA,< 1 year,0.0
6060713,20000.0,Debt consolidation,39.63%,705xx,LA,< 1 year,0.0
10554188,10000.0,Credit card refinancing,23.09%,336xx,FL,< 1 year,0.0
8188713,35000.0,debt_consolidation,36.37%,370xx,TN,< 1 year,0.0
22329210,75000.0,Business Loan,-1%,110xx,NY,< 1 year,0.0
1574786,30000.0,vacation,2.05%,440xx,OH,< 1 year,0.0
14769752,25000.0,Debt consolidation,13.01%,945xx,CA,< 1 year,0.0
10688275,20000.0,Debt consolidation,100%,946xx,CA,< 1 year,0.0
25183928,1000.0,debt_consolidation,14.16%,891xx,NV,< 1 year,0.0
13866099,20000.0,house,0.86%,609xx,IL,< 1 year,0.0
25445922,10000.0,debt_consolidation,12.53%,953xx,CA,< 1 year,0.0
10409942,20000.0,Debt consolidation,16.98%,088xx,NJ,< 1 year,0.0
15236566,3000.0,Credit card refinancing,21.93%,923xx,CA,< 1 year,0.0
16890643,1500.0,Debt consolidation,37.95%,312xx,GA,< 1 year,0.0
21043829,8525.0,Car financing,100%,481xx,MI,< 1 year,0.0
10750068,40000.0,Credit card refinancing,68.14%,024xx,MA,< 1 year,0.0
23385262,10000.0,small_business,18.83%,335xx,FL,< 1 year,0.0
20283076,40000.0,Other,100%,012xx,MA,< 1 year,0.0
11280943,10000.0,Credit card refinancing,316.08%,133xx,NY,< 1 year,0.0
27288793,4000.0,other,0%,926xx,CA,< 1 year,0.0
24506633,5000.0,other,12.71%,431xx,OH,5 years,0.0
15735532,5000.0,Other,7.18%,210xx,MD,< 1 year,0.0
21216728,8050.0,Credit card refinancing,26.59%,530xx,WI,< 1 year,0.0
16580136,1000.0,Moving and relocation,30.88%,366xx,AL,< 1 year,0.0
8643235,1200.0,other,24.6%,454xx,OH,< 1 year,0.0
8695204,1000.0,Debt consolidation,0.39%,704xx,LA,7 years,0.0
2818485,10000.0,Credit card refinancing,16.14%,113xx,NY,< 1 year,0.0
22728294,35000.0,credit_card,61.55%,495xx,MI,< 1 year,0.0
24063389,1000.0,credit_card,286.71%,926xx,CA,< 1 year,0.0
5209363,3500.0,Other,24.66%,751xx,TX,< 1 year,0.0
24081425,7000.0,debt_consolidation,36.75%,917xx,CA,< 1 year,0.0
26578881,3000.0,Debt consolidation,14.27%,780xx,TX,< 1 year,0.0
22078538,10000.0,home_improvement,24.25%,641xx,MO,< 1 year,0.0
1568989,2000.0,debt_consolidation,20.8%,958xx,CA,< 1 year,0.0
23956538,5000.0,debt_consolidation,14.74%,331xx,FL,< 1 year,0.0
17152147,5000.0,Debt consolidation,43.2%,857xx,AZ,< 1 year,0.0
11790139,17000.0,debt_consolidation,17.28%,544xx,WI,5 years,0.0
8582809,2000.0,vacation,-1%,600xx,IL,< 1 year,0.0
9393567,35000.0,debt_consolidation,47.56%,850xx,AZ,< 1 year,0.0
2640481,5000.0,debt_consolidation,0.85%,913xx,CA,5 years,0.0
26556829,2500.0,car,15.56%,276xx,NC,5 years,0.0
7570515,15000.0,car,7.76%,290xx,SC,< 1 year,0.0
23921849,20000.0,credit_card,14.38%,605xx,IL,< 1 year,0.0
3323451,20000.0,other,17.84%,553xx,MN,< 1 year,0.0
19220139,1000.0,Other,31.4%,993xx,WA,< 1 year,0.0
27555609,8000.0,Debt consolidation,38%,334xx,FL,< 1 year,0.0
10863079,3500.0,Debt consolidation,22.68%,471xx,IN,< 1 year,0.0
21037620,15000.0,Credit card refinancing,40.5%,356xx,AL,< 1 year,0.0
1715611,6000.0,debt_consolidation,58.92%,432xx,OH,< 1 year,0.0
7005190,35000.0,credit_card,51%,550xx,MN,< 1 year,0.0
18782364,35000.0,Debt consolidation,44.83%,070xx,NJ,< 1 year,0.0
1724215,4000.0,small_business,50.92%,757xx,TX,5 years,0.0
26386736,6000.0,other,0%,104xx,NY,5 years,0.0
14488204,40000.0,other,31.61%,283xx,NC,< 1 year,0.0
19455222,6000.0,Moving and relocation,100%,114xx,NY,< 1 year,0.0
18724395,2500.0,Car financing,30.86%,780xx,TX,< 1 year,0.0
3645870,3000.0,other,3.51%,017xx,MA,< 1 year,0.0
3404425,1000.0,other,0%,486xx,MI,< 1 year,0.0
11372483,15000.0,Home buying,16.77%,282xx,NC,< 1 year,0.0
16171826,1000.0,Home buying,0.69%,653xx,MO,,0.0
14827637,4500.0,Debt consolidation,34.34%,386xx,MS,,0.0
13469609,20000.0,Debt consolidation,25.24%,603xx,IL,< 1 year,0.0
16684244,3500.0,Car financing,16.24%,290xx,SC,< 1 year,0.0
26996351,5000.0,Moving and relocation,100%,081xx,NJ,< 1 year,0.0
697256,5000.0,major_purchase,3.6%,980xx,WA,< 1 year,0.0
3550885,1500.0,debt_consolidation,24.96%,934xx,CA,5 years,0.0
17050407,30000.0,Debt consolidation,100%,471xx,IN,< 1 year,0.0
13437228,2025.0,debt_consolidation,15.23%,640xx,MO,,0.0
6418907,13500.0,Credit card refinancing,36.41%,368xx,AL,< 1 year,0.0
22836408,10000.0,other,0%,531xx,WI,< 1 year,0.0
11670724,5000.0,other,13.03%,103xx,NY,5 years,0.0
2850102,12000.0,debt_consolidation,28.96%,015xx,MA,< 1 year,0.0
11794741,2000.0,credit_card,3.75%,933xx,CA,5 years,0.0
18934941,2500.0,Home buying,0%,304xx,GA,< 1 year,0.0
20960464,5000.0,Major purchase,42.73%,945xx,CA,< 1 year,0.0
19544374,10000.0,Credit card refinancing,71.42%,445xx,OH,< 1 year,0.0
20167348,15000.0,debt_consolidation,64.91%,913xx,CA,1 year,0.0
742793,2175.0,major_purchase,25.38%,797xx,AK,< 1 year,0.0
9128756,35000.0,major_purchase,4.8%,540xx,WI,5 years,0.0
12873248,11500.0,Debt consolidation,55.38%,104xx,NY,< 1 year,0.0
15636843,1000.0,Other,1.2%,624xx,IL,< 1 year,0.0
12772864,10000.0,Credit card refinancing,7.73%,925xx,CA,< 1 year,0.0
27193942,5000.0,other,7.08%,925xx,CA,< 1 year,0.0
22266016,1000.0,car,25.05%,128xx,NY,< 1 year,0.0
20562800,10000.0,Other,1.57%,208xx,MD,< 1 year,0.0
5227111,2200.0,Other,27.04%,662xx,KS,3 years,0.0
5714315,8000.0,Debt consolidation,24.65%,220xx,VA,< 1 year,0.0
12286550,12000.0,Debt consolidation,17.08%,441xx,OH,< 1 year,0.0
17851329,1500.0,Home buying,12.06%,270xx,NC,< 1 year,0.0
24605987,15000.0,Major purchase,13.15%,924xx,CA,< 1 year,0.0
12274457,12000.0,credit_card,14%,033xx,NH,5 years,0.0
13269481,25000.0,debt_consolidation,23.18%,891xx,NV,< 1 year,0.0
164436,3000.0,vacation,10.99%,080xx,NJ,< 1 year,0.0
27149136,5000.0,Vacation,37.4%,239xx,VA,< 1 year,0.0
1506673,5000.0,debt_consolidation,27.04%,468xx,IN,< 1 year,0.0
18748297,20000.0,Credit card refinancing,40.1%,600xx,IL,< 1 year,0.0
13235256,2000.0,home_improvement,29.2%,350xx,AL,< 1 year,0.0
10939143,6000.0,Car financing,9.9%,070xx,NJ,< 1 year,0.0
9532631,35000.0,credit_card,52.85%,339xx,FL,< 1 year,0.0
5425530,30000.0,Debt consolidation,25.29%,309xx,GA,< 1 year,0.0
12297562,25000.0,home_improvement,-1%,324xx,FL,5 years,0.0
21448495,25000.0,Medical expenses,0%,278xx,NC,< 1 year,0.0
7620651,20000.0,debt_consolidation,20.37%,451xx,OH,< 1 year,0.0
23606834,3000.0,other,0%,462xx,IN,< 1 year,0.0
2211152,3000.0,other,10.67%,212xx,MD,< 1 year,0.0
7793103,20000.0,small_business,7.93%,165xx,PA,10+ years,0.0
4473741,10000.0,Debt consolidation,0%,312xx,GA,< 1 year,0.0
10332805,35000.0,Debt consolidation,7.98%,443xx,OH,< 1 year,0.0
20976590,15000.0,Major purchase,21.75%,946xx,CA,< 1 year,0.0
7181004,5000.0,other,0%,660xx,KS,< 1 year,0.0
17923719,2000.0,Other,15.22%,023xx,MA,< 1 year,0.0
27518809,5000.0,debt_consolidation,9.91%,900xx,CA,< 1 year,0.0
6045431,2000.0,Home improvement,73.76%,341xx,FL,< 1 year,0.0
20992541,20000.0,Debt consolidation,13.22%,201xx,VA,< 1 year,0.0
13343157,3000.0,other,10.16%,741xx,OK,< 1 year,0.0
19025059,10000.0,Debt consolidation,28.03%,995xx,AK,< 1 year,0.0
14173308,2000.0,debt_consolidation,4.83%,339xx,FL,5 years,0.0
5580690,20000.0,Debt consolidation,418.9%,770xx,TX,< 1 year,0.0
6243352,2500.0,Home buying,20.82%,327xx,FL,< 1 year,0.0
14678414,40000.0,Credit card refinancing,33.56%,786xx,TX,< 1 year,0.0
4854436,35000.0,Debt consolidation,29.54%,570xx,SD,,0.0
11933332,17475.0,Car financing,100%,089xx,NJ,< 1 year,0.0
1901682,9000.0,Home improvement,21.81%,544xx,WI,3 years,0.0
16986593,4000.0,Debt consolidation,28.22%,840xx,UT,< 1 year,0.0
8168461,35000.0,debt_consolidation,82.11%,430xx,OH,< 1 year,0.0
4312969,20000.0,Car financing,18.8%,347xx,FL,< 1 year,0.0
15338612,3000.0,Credit card refinancing,72.73%,968xx,HI,< 1 year,0.0
4458463,10000.0,Credit card refinancing,8.44%,104xx,NY,< 1 year,0.0
15832926,4000.0,Credit card refinancing,16.36%,070xx,NJ,< 1 year,0.0
8835199,2000.0,renewable_energy,-1%,291xx,SC,< 1 year,0.0
15980318,6500.0,Moving and relocation,7.91%,112xx,NY,< 1 year,0.0
3819919,30000.0,Debt consolidation,29.4%,571xx,SD,< 1 year,0.0
10490096,10000.0,Debt consolidation,427.43%,430xx,OH,< 1 year,0.0
5218383,30000.0,Debt consolidation,10.94%,440xx,OH,< 1 year,0.0
20434191,5000.0,Car financing,11.05%,297xx,SC,< 1 year,0.0
14393184,25000.0,vacation,37.48%,381xx,TN,< 1 year,0.0
11837231,20000.0,Other,23.41%,807xx,CO,< 1 year,0.0
16694474,10000.0,Credit card refinancing,34.32%,300xx,GA,< 1 year,0.0
7487715,1000.0,other,0%,636xx,MO,< 1 year,0.0
6669258,1500.0,Other,100%,945xx,CA,< 1 year,0.0
4249781,9500.0,other,25.44%,330xx,FL,< 1 year,0.0
13590576,3000.0,other,36.49%,641xx,MO,< 1 year,0.0
17320180,10000.0,Other,8.14%,833xx,ID,< 1 year,0.0
18652101,12000.0,Home improvement,6.88%,331xx,FL,< 1 year,0.0
11988818,3100.0,car,8.71%,302xx,GA,< 1 year,0.0
21913934,11000.0,debt_consolidation,25.89%,925xx,CA,< 1 year,0.0
15821398,18000.0,Debt consolidation,14.3%,458xx,OH,< 1 year,0.0
24036624,2500.0,major_purchase,6.6%,712xx,LA,< 1 year,0.0
14467010,35000.0,debt_consolidation,50.48%,793xx,TX,< 1 year,0.0
18304016,20000.0,Debt consolidation,94.08%,727xx,AR,< 1 year,0.0
6639689,5000.0,Debt consolidation,22.61%,301xx,GA,< 1 year,0.0
26472711,1500.0,small_business,-1%,711xx,LA,5 years,0.0
1887321,4000.0,credit_card,22.73%,234xx,VA,< 1 year,0.0
5605884,15000.0,Debt consolidation,7.86%,802xx,CO,< 1 year,0.0
27350082,1500.0,other,5.87%,283xx,NC,< 1 year,0.0
15042089,28000.0,Debt consolidation,59.44%,318xx,GA,< 1 year,0.0
15203980,12000.0,Credit card refinancing,100%,306xx,GA,< 1 year,0.0
10953217,1000.0,Debt consolidation,1.34%,194xx,PA,< 1 year,0.0
24363555,5000.0,debt_consolidation,3.57%,210xx,MD,< 1 year,0.0
16722379,5000.0,Medical expenses,2.17%,480xx,MI,10+ years,0.0
17949677,40000.0,Debt consolidation,25.41%,554xx,MN,< 1 year,0.0
26074818,6000.0,Medical expenses,2.94%,330xx,FL,< 1 year,0.0
20094541,13000.0,Other,12.93%,300xx,GA,< 1 year,0.0
2255526,8000.0,debt_consolidation,6.58%,120xx,NY,5 years,0.0
17332336,3000.0,Other,28.12%,227xx,VA,< 1 year,0.0
6219550,12000.0,Other,100%,601xx,IL,< 1 year,0.0
12534156,15000.0,Debt consolidation,24.24%,440xx,OH,< 1 year,0.0
1915287,25000.0,home_improvement,0.12%,921xx,CA,< 1 year,0.0
1995303,40000.0,home_improvement,1.02%,601xx,IL,< 1 year,0.0
12498088,3000.0,Medical expenses,19.92%,390xx,MS,< 1 year,0.0
25299068,1000.0,Credit card refinancing,31.17%,891xx,NV,< 1 year,0.0
25725522,2500.0,Major purchase,3.63%,762xx,TX,< 1 year,0.0
14061735,10000.0,debt_consolidation,9.31%,338xx,FL,5 years,0.0
26845882,29000.0,credit_card,-1%,038xx,NH,5 years,0.0
20208921,6000.0,Other,22.91%,083xx,NJ,< 1 year,0.0
2338710,35000.0,debt_consolidation,19.83%,080xx,NJ,5 years,0.0
8283287,2000.0,other,5.56%,245xx,VA,< 1 year,0.0
16035241,2600.0,Other,1.09%,600xx,IL,< 1 year,0.0
27339510,35000.0,credit_card,17.84%,808xx,CO,5 years,0.0
16610583,25000.0,Major purchase,6.5%,281xx,NC,< 1 year,0.0
2703240,40000.0,debt_consolidation,268.21%,207xx,MD,< 1 year,0.0
26573657,40000.0,Debt consolidation,61.23%,925xx,CA,< 1 year,0.0
16850459,40000.0,Debt consolidation,100%,655xx,MO,< 1 year,0.0
10923651,12675.0,Car financing,100%,335xx,FL,< 1 year,0.0
25920815,3000.0,other,16.88%,652xx,MO,< 1 year,0.0
20399136,10000.0,Other,17.94%,117xx,NY,< 1 year,0.0
6888874,40000.0,Debt consolidation,33.06%,220xx,VA,< 1 year,0.0
16675770,27000.0,Home buying,16.95%,064xx,CT,< 1 year,0.0
9334662,16500.0,debt_consolidation,35.86%,382xx,TN,< 1 year,0.0
1893631,9000.0,debt_consolidation,17.15%,952xx,CA,< 1 year,0.0
21086222,1000.0,Home improvement,26.3%,883xx,NM,1 year,0.0
1321833,10000.0,moving,5.48%,689xx,NE,5 years,0.0
19202018,15000.0,Other,2.6%,458xx,OH,< 1 year,0.0
15344547,3000.0,Home buying,100%,216xx,MD,< 1 year,0.0
21988014,2500.0,debt_consolidation,63.44%,553xx,MN,< 1 year,0.0
25389050,7000.0,debt_consolidation,11.22%,157xx,PA,5 years,0.0
1321254,3000.0,debt_consolidation,15.47%,729xx,AR,< 1 year,0.0
4717922,20000.0,Debt consolidation,41.36%,786xx,TX,< 1 year,0.0
9215490,10000.0,debt_consolidation,32.96%,303xx,GA,< 1 year,0.0
1651495,1300.0,other,0%,275xx,NC,5 years,0.0
1009398,10000.0,medical,0.27%,366xx,AL,< 1 year,0.0
4172431,25000.0,Home improvement,100%,606xx,IL,< 1 year,0.0
2224668,5700.0,debt_consolidation,9.27%,761xx,TX,5 years,0.0
5500347,22000.0,Other,11.34%,948xx,CA,< 1 year,0.0
6154244,16000.0,Other,17.95%,221xx,VA,< 1 year,0.0
3496344,32000.0,debt_consolidation,21.18%,300xx,GA,< 1 year,0.0
22359308,10000.0,house,27.77%,330xx,FL,< 1 year,0.0
559541,5000.0,major_purchase,38.4%,182xx,PA,< 1 year,0.0
23215047,5000.0,other,-1%,752xx,TX,< 1 year,0.0
19144086,20000.0,Credit card refinancing,47.18%,186xx,PA,< 1 year,0.0
9040914,18000.0,home_improvement,35.18%,958xx,CA,< 1 year,0.0
13929021,25000.0,credit_card,42.5%,327xx,FL,< 1 year,0.0
24282710,6000.0,debt_consolidation,11.31%,104xx,NY,< 1 year,0.0
20774883,2000.0,Credit card refinancing,100%,936xx,CA,< 1 year,0.0
26244473,20000.0,debt_consolidation,10.88%,113xx,NY,< 1 year,0.0
23697400,25000.0,car,0%,152xx,PA,< 1 year,0.0
7176181,20000.0,debt_consolidation,8.55%,770xx,TX,< 1 year,0.0
14417781,8000.0,credit_card,18.84%,921xx,CA,< 1 year,0.0
4600183,4000.0,Debt consolidation,24.53%,342xx,FL,< 1 year,0.0
15640670,2500.0,Medical expenses,18.55%,606xx,IL,< 1 year,0.0
19090278,15000.0,Debt consolidation,17.97%,028xx,RI,< 1 year,0.0
10398807,20000.0,Other,64.7%,577xx,SD,< 1 year,0.0
26386285,25000.0,car,1.67%,392xx,MS,< 1 year,0.0
26873024,12000.0,debt_consolidation,-1%,604xx,IL,5 years,0.0
15450237,16500.0,Debt consolidation,24.44%,630xx,MO,< 1 year,0.0
5819555,10000.0,Credit card refinancing,4.34%,604xx,IL,< 1 year,0.0
26134688,10000.0,Debt consolidation,9.98%,920xx,CA,< 1 year,0.0
